Content Tag ID,Name (in english) (must be unique),Name (in bengali) (must be unique),View order
,"Types  and spread of Infectious Diseases, Types ","সংক্রামক রোগ, সংক্রাক রোগের বিস্তার, প্রকারভেদ",1256
,Prevention and remedy of Infectious Diseases,সংক্রামক রোগের প্রতিরোধ ও প্রতিকার,1257
,Bad Impact of technology,প্রযুক্তির ক্ষতিকর প্রভাব ২,1258
,Importance of Information Sharing ,তথ্য বিনিময়ের গুরুত্ব,1259
,"Collection, Preservation and exchange of Information","তথ্য সংগ্রহ, সংরক্ষণ ও বিনিময় ২",1260
,Extreme Weather 2,বিরুপ আবহাওয়া,1261
,Green House Effect,গ্রীন হাউজ প্রভাব   ,1262
,Climate Change 2,জলবায়ু পরিবর্তন,1263
, Use of Natural Resources,প্রাকৃতিক সম্পদের যথাযথ ব্যবহার,1264
,Impact of Population Growth on Enviroment 2,পরিবেশের উপর জনসংখ্যা বৃদ্ধির প্রভাব,1265
